username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jenkers_en;2015-05-27 19:48;0;0;"Fears of koala cull in crowded #Australia 'n colony http:// jenke.rs/e3SAg6 pic.twitter.com/Foyp3TtY7H";;;#Australia;"603497902732873728";https://twitter.com/jenkers_en/status/603497902732873728
lmwtw1;2015-05-27 17:42;0;0;"Koala cull in Australia prompts call for long-term solution | Toronto Star http:// fb.me/1Hvly3O83";;;;"603466236903698432";https://twitter.com/lmwtw1/status/603466236903698432
STForeignDesk;2015-05-27 17:24;4;3;"Fears of koala cull in crowded #Australia colony http:// bit.ly/1BovIaA pic.twitter.com/7CPxsg25B4";;;#Australia;"603461851494612992";https://twitter.com/STForeignDesk/status/603461851494612992
Asia__Pacific;2015-05-27 02:28;0;0;"#Australia Koala cull resumes in Australian tourist destination: national symbol, but authorities in Austra... http:// tinyurl.com/mndlkcv";;;#Australia;"603236164254830592";https://twitter.com/Asia__Pacific/status/603236164254830592
VeganChatRoom;2015-05-26 20:14;3;1;"Fears of another koala cull in Australia as officials claim they are 'overabundant' in Victoria http://www. independent.co.uk/news/world/aus tralasia/fears-of-another-koala-cull-in-australia-as-officials-claim-they-are-overabundant-in-victoria-10275391.html ";;;;"603142197949689856";https://twitter.com/VeganChatRoom/status/603142197949689856
newslitesg;2015-05-26 20:06;5;0;"Fears of another #koala cull in #Australia as officials claim they are 'overabundant' http:// goo.gl/xBif3p pic.twitter.com/jbJX0TWjnB";;;#koala #Australia;"603140025975480320";https://twitter.com/newslitesg/status/603140025975480320
crazyarnie;2015-05-26 12:55;0;0;"Australia is planning to cull koala again @karluisq";;@karluisq;;"603031576839135234";https://twitter.com/crazyarnie/status/603031576839135234
australian;2015-05-26 06:49;18;8;"Second cull imminent at one of the biggest koala colonies in Australia . http:// bit.ly/1LCKTDi pic.twitter.com/3GOR9MKW8L";;;;"602939625120899073";https://twitter.com/australian/status/602939625120899073
Medicinnov8r;2015-03-23 20:07;0;0;"Raw: Contentious Koala Cull in Australia : https:// youtu.be/p2EU6uDvr70 via @YouTube";;@YouTube;;"579932357869719552";https://twitter.com/Medicinnov8r/status/579932357869719552
The_Newstime;2015-03-23 05:55;1;0;"AP News Minute: US military advisors train Iraqi troops in fight against ISIS; Koala cull revealed in Australia ...-> http:// bit.ly/1dJMC7V";;;;"579717992939970560";https://twitter.com/The_Newstime/status/579717992939970560
tubenewsen;2015-03-23 02:19;0;0;"Raw: Contentious Koala Cull in Australia http:// ift.tt/1FXklLX #AssociatedPress #Associated #Press #news";;;#AssociatedPress #Associated #Press #news;"579663774296182784";https://twitter.com/tubenewsen/status/579663774296182784
korneva561;2015-03-23 02:01;0;0;"Raw: Contentious Koala Cull in Australia : http:// ln.is/www.youtube.co m/xjGeO @YouTube";;@YouTube;;"579659213640740864";https://twitter.com/korneva561/status/579659213640740864
